fp16_bits,fp16_value,ref_bf16_bits,ref_bf16_value,mpfr_bf16_bits,mpfr_bf16_value,ref_gelu_f64,mpfr_gelu_f64
0xC7E1,-7.87890625,0xA86C,-1.3100631690576847e-14,0xA86A,-1.2989609388114332e-14,-1.3121014691419575e-14,-1.3010404874148616e-14
0xC7E2,-7.8828125,0xA865,-1.2712053631958042e-14,0xA863,-1.2601031329495527e-14,-1.2689935907639338e-14,-1.2616173663435772e-14
0xC7E3,-7.88671875,0xA85D,-1.226796442210798e-14,0xA85C,-1.2212453270876722e-14,-1.2258423442990107e-14,-1.2233701211998172e-14
0xC7E4,-7.890625,0xA855,-1.1823875212257917e-14,0xA856,-1.1879386363489175e-14,-1.1826477297471882e-14,-1.186264255218039e-14
0xC7E5,-7.89453125,0xA84D,-1.1379786002407855e-14,0xA84F,-1.149080830487037e-14,-1.1394097471084663e-14,-1.1502662661631595e-14
0xC7E6,-7.8984375,0xA845,-1.0935696792557792e-14,0xA849,-1.1157741397482823e-14,-1.096128396382845e-14,-1.1153436181823993e-14
0xC7E7,-7.90234375,0xA846,-1.099120794378905e-14,0xA843,-1.0824674490095276e-14,-1.0966704974690877e-14,-1.0814647144383704e-14
0xC7E8,-7.90625,0xA83E,-1.0547118733938987e-14,0xA83D,-1.049160758270773e-14,-1.0533240946131173e-14,-1.0485988705021714e-14
0xC7E9,-7.91015625,0xA836,-1.0103029524088925e-14,0xA837,-1.0158540675320182e-14,-1.0099343236702474e-14,-1.0167162884858196e-14
0xC7EA,-7.9140625,0xA82E,-9.658940314238862e-15,0xA832,-9.880984919163893e-15,-9.66501184640478e-15,-9.857880318938976e-15
0xC7EB,-7.91796875,0xA82E,-9.658940314238862e-15,0xA82C,-9.547918011776346e-15,-9.669782335963717e-15,-9.55786001174829e-15
0xC7EC,-7.921875,0xA826,-9.2148511043888e-15,0xA827,-9.270362255620057e-15,-9.234800424362533e-15,-9.26682909952719e-15
0xC7ED,-7.92578125,0xA81F,-8.826273045769994e-15,0xA822,-8.992806499463768e-15,-8.799384831892354e-15,-8.984522619212005e-15
0xC7EE,-7.9296875,0xA81F,-8.826273045769994e-15,0xA81D,-8.715250743307479e-15,-8.803721640582296e-15,-8.710683283812317e-15
0xC7EF,-7.93359375,0xA817,-8.382183835919932e-15,0xA818,-8.43769498715119e-15,-8.367655526808626e-15,-8.44506126405256e-15
0xC7F0,-7.9375,0xA817,-8.382183835919932e-15,0xA813,-8.1601392309949e-15,-8.371775495064071e-15,-8.187413976106223e-15
0xC7F2,-7.9453125,0xA807,-7.494005416219807e-15,0xA80B,-7.716050021144838e-15,-7.497908544040754e-15,-7.695108255318431e-15
0xC7F3,-7.94921875,0xA807,-7.494005416219807e-15,0xA806,-7.438494264988549e-15,-7.501594831427205e-15,-7.459999053673475e-15
0xC7F4,-7.953125,0xA7FE,-7.049916206369744e-15,0xA802,-7.216449660063518e-15,-7.0637939941775585e-15,-7.231962661748521e-15
0xC7F5,-7.95703125,0xA7FF,-7.077671781985373e-15,0xA7FD,-7.022160630754115e-15,-7.067263441129512e-15,-7.010789740804414e-15
0xC7F6,-7.9609375,0xA7EF,-6.63358257213531e-15,0xA7F5,-6.800116025829084e-15,-6.628812082576374e-15,-6.796277042879908e-15
0xC7F7,-7.96484375,0xA7EF,-6.63358257213531e-15,0xA7ED,-6.5780714209040525e-15,-6.632064689093831e-15,-6.5882272367524465e-15
0xC7F8,-7.96875,0xA7DF,-6.189493362285248e-15,0xA7E6,-6.38378239159465e-15,-6.192962809237201e-15,-6.386448738777649e-15
0xC7FA,-7.9765625,0xA7DF,-6.189493362285248e-15,0xA7D8,-5.995204332975845e-15,-6.19903434140312e-15,-6.000967088718869e-15
0xC7FB,-7.98046875,0xA7CF,-5.745404152435185e-15,0xA7D2,-5.828670879282072e-15,-5.7590650998085025e-15,-5.8169080504393826e-15
0xC7FC,-7.984375,0xA7D0,-5.773159728050814e-15,0xA7CB,-5.6343818499726694e-15,-5.761884025456965e-15,-5.6384082416573025e-15
0xC7FD,-7.98828125,0xA7C0,-5.329070518200751e-15,0xA7C5,-5.467848396278896e-15,-5.321264262558856e-15,-5.465302440785124e-15
0xC7FE,-7.9921875,0xA7C0,-5.329070518200751e-15,0xA7BF,-5.3013149425851225e-15,-5.323866347772821e-15,-5.297430254046055e-15
0xC7FF,-7.99609375,0xA7C0,-5.329070518200751e-15,0xA7B9,-5.134781488891349e-15,-5.326468432986786e-15,-5.13463597690758e-15
0xC800,-8.0,0xA7B0,-4.884981308350689e-15,0xA7B3,-4.9682480351975755e-15,-4.884981308350689e-15,-4.976768459417427e-15
0xC801,-8.0078125,0xA7B0,-4.884981308350689e-15,0xA7A8,-4.6629367034256575e-15,-4.889751797909625e-15,-4.6752310949479966e-15
0xC802,-8.015625,0xA7A0,-4.440892098500626e-15,0xA79E,-4.385380947269368e-15,-4.44956571588051e-15,-4.391695171023396e-15
0xC803,-8.0234375,0xA790,-3.9968028886505635e-15,0xA795,-4.135580766728708e-15,-4.008512272113407e-15,-4.1251025705625906e-15
0xC804,-8.03125,0xA791,-4.0245584642661925e-15,0xA78C,-3.885780586188048e-15,-4.012415399934355e-15,-3.8744563655679184e-15
0xC805,-8.0390625,0xA781,-3.58046925441613e-15,0xA783,-3.635980405647388e-15,-3.570060913560269e-15,-3.638817339036834e-15
0xC806,-8.046875,0xA781,-3.58046925441613e-15,0xA776,-3.4139358007223564e-15,-3.573530360512223e-15,-3.417300701005905e-15
0xC807,-8.0546875,0xA762,-3.1363800445660672e-15,0xA767,-3.2057689836051395e-15,-3.1298748315311542e-15,-3.2090729880991057e-15
0xC808,-8.0625,0xA762,-3.1363800445660672e-15,0xA759,-3.011479954295737e-15,-3.1329105976141136e-15,-3.0133491365223577e-15
0xC809,-8.0703125,0xA742,-2.6922908347160046e-15,0xA74C,-2.831068712794149e-15,-2.6879540260260626e-15,-2.8293897189863454e-15
0xC80A,-8.078125,0xA742,-2.6922908347160046e-15,0xA73F,-2.6506574712925612e-15,-2.690556111240028e-15,-2.6564983365513056e-15
0xC80B,-8.0859375,0xA742,-2.6922908347160046e-15,0xA734,-2.4980018054066022e-15,-2.693158196453993e-15,-2.494019156872278e-15
0xC80C,-8.09375,0xA722,-2.248201624865942e-15,0xA729,-2.345346139520643e-15,-2.246466901389965e-15,-2.341334590782547e-15
0xC80D,-8.1015625,0xA722,-2.248201624865942e-15,0xA71E,-2.192690473634684e-15,-2.248635305734936e-15,-2.1978630995880486e-15
0xC80E,-8.109375,0xA722,-2.248201624865942e-15,0xA715,-2.067790383364354e-15,-2.2508037100799072e-15,-2.0630571258575843e-15
0xC80F,-8.1171875,0xA702,-1.8041124150158794e-15,0xA70C,-1.942890293094024e-15,-1.8023776915399026e-15,-1.936401140883963e-15
0xC810,-8.125,0xA702,-1.8041124150158794e-15,0xA703,-1.817990202823694e-15,-1.8041124150158794e-15,-1.817409802360835e-15
0xC811,-8.1328125,0xA702,-1.8041124150158794e-15,0xA6F6,-1.7069679003611782e-15,-1.805847138491856e-15,-1.7056262161700032e-15
0xC812,-8.140625,0xA702,-1.8041124150158794e-15,0xA6E7,-1.6028844918025698e-15,-1.807581861967833e-15,-1.6006202965054658e-15
0xC813,-8.1484375,0xA6C4,-1.3600232051658168e-15,0xA6D8,-1.4988010832439613e-15,-1.3569874390828573e-15,-1.5019872188743068e-15
0xC814,-8.15625,0xA6C4,-1.3600232051658168e-15,0xA6CB,-1.4085954624931674e-15,-1.35828848168984e-15,-1.4093459608116746e-15
0xC815,-8.1640625,0xA6C4,-1.3600232051658168e-15,0xA6BF,-1.3253287356462806e-15,-1.3595895242968226e-15,-1.322337925428435e-15
0xC816,-8.171875,0xA6C4,-1.3600232051658168e-15,0xA6B3,-1.2420620087993939e-15,-1.3608905669038052e-15,-1.2406256431763889e-15
0xC817,-8.1796875,0xA6C4,-1.3600232051658168e-15,0xA6A8,-1.1657341758564144e-15,-1.3621916095107878e-15,-1.1638915474680365e-15
0xC818,-8.1875,0xA683,-9.08995101411847e-16,0xA69D,-1.0894063429134349e-15,-9.08995101411847e-16,-1.0918368200264828e-15
0xC819,-8.1953125,0xA683,-9.08995101411847e-16,0xA694,-1.0269562977782698e-15,-9.098624631498353e-16,-1.0241803020669114e-15
0xC81A,-8.203125,0xA683,-9.08995101411847e-16,0xA68A,-9.575673587391975e-16,-9.107298248878237e-16,-9.606574676247796e-16
0xC81B,-8.2109375,0xA683,-9.08995101411847e-16,0xA682,-9.020562075079397e-16,-9.115971866258121e-16,-9.010194555481425e-16
0xC81C,-8.21875,0xA684,-9.159339953157541e-16,0xA674,-8.465450562766819e-16,-9.124645483638005e-16,-8.450321568628903e-16
0xC81D,-8.2265625,0xA684,-9.159339953157541e-16,0xA664,-7.91033905045424e-16,-9.13331910101789e-16,-7.924753544007721e-16
0xC81E,-8.234375,0xA684,-9.159339953157541e-16,0xA656,-7.424616477180734e-16,-9.141992718397773e-16,-7.431419117513976e-16
0xC81F,-8.2421875,0xA684,-9.159339953157541e-16,0xA649,-6.973588373426765e-16,-9.150666335777657e-16,-6.968370087614921e-16
0xC820,-8.25,0xA604,-4.579669976578771e-16,0xA63C,-6.522560269672795e-16,-4.579669976578771e-16,-6.533774209580044e-16
0xC821,-8.2578125,0xA604,-4.579669976578771e-16,0xA631,-6.140921104957897e-16,-4.584006785268713e-16,-6.125908404166973e-16
0xC822,-8.265625,0xA604,-4.579669976578771e-16,0xA626,-5.759281940243e-16,-4.588343593958655e-16,-5.743152357350296e-16
0xC823,-8.2734375,0xA604,-4.579669976578771e-16,0xA61B,-5.377642775528102e-16,-4.592680402648597e-16,-5.383982488978756e-16
