fp16_bits,fp16_value,ref_bf16_bits,ref_bf16_value,mpfr_bf16_bits,mpfr_bf16_value,ref_gelu_f64,mpfr_gelu_f64
0xC884,-9.03125,0x8000,-0.0,0xA162,-7.657177843178875e-19,-0.0,-7.664002914181757e-19
0xC885,-9.0390625,0x8000,-0.0,0xA153,-7.148958074826295e-19,-0.0,-7.141817208726213e-19
0xC886,-9.046875,0x8000,-0.0,0xA144,-6.640738306473715e-19,-0.0,-6.654804027739841e-19
0xC887,-9.0546875,0x8000,-0.0,0xA137,-6.2002811739014785e-19,-0.0,-6.200622363452139e-19
0xC888,-9.0625,0x8000,-0.0,0xA12B,-5.793705359219414e-19,-0.0,-5.77708510092357e-19
0xC889,-9.0703125,0x8000,-0.0,0xA11F,-5.38712954453735e-19,-0.0,-5.382149031222748e-19
0xC88A,-9.078125,0x8000,-0.0,0xA114,-5.014435047745458e-19,-0.0,-5.013905504023317e-19
0xC88B,-9.0859375,0x8000,-0.0,0xA10A,-4.675621868843738e-19,-0.0,-4.670571679253527e-19
0xC88C,-9.09375,0x8000,-0.0,0xA100,-4.336808689942018e-19,-0.0,-4.350482339942524e-19
0xC88D,-9.1015625,0x8000,-0.0,0xA0EF,-4.0488174878755556e-19,-0.0,-4.05208223076464e-19
0xC88E,-9.109375,0x8000,-0.0,0xA0DF,-3.7777669447541795e-19,-0.0,-3.773918888995665e-19
0xC88F,-9.1171875,0x8000,-0.0,0xA0CF,-3.5067164016328034e-19,-0.0,-3.5146359366719962e-19
0xC890,-9.125,0x8000,-0.0,0xA0C1,-3.2695471764015993e-19,-0.0,-3.2729668046928774e-19
0xC891,-9.1328125,0x8000,-0.0,0xA0B4,-3.049318610115481e-19,-0.0,-3.0477288614353106e-19
0xC892,-9.140625,0x8000,-0.0,0xA0A8,-2.846030702774449e-19,-0.0,-2.8378179201680343e-19
0xC893,-9.1484375,0x8000,-0.0,0xA09C,-2.642742795433417e-19,-0.0,-2.642203101161871e-19
0xC894,-9.15625,0x8000,-0.0,0xA091,-2.456395547037471e-19,-0.0,-2.4599220259053403e-19
0xC895,-9.1640625,0x8000,-0.0,0xA087,-2.286988957586611e-19,-0.0,-2.2900763222525987e-19
0xC896,-9.171875,0x8000,-0.0,0xA07C,-2.1345230270808369e-19,-0.0,-2.131827420661295e-19
0xC897,-9.1796875,0x8000,-0.0,0xA06A,-1.9820570965750628e-19,-0.0,-1.984392622926074e-19
0xC898,-9.1875,0x8000,-0.0,0xA05A,-1.8465318250143747e-19,-0.0,-1.847041425984289e-19
0xC899,-9.1953125,0x8000,-0.0,0xA04B,-1.7194768829262297e-19,-0.0,-1.719092084468675e-19
0xC89A,-9.203125,0x8000,-0.0,0xA03D,-1.6008922703106276e-19,-0.0,-1.5999083967117657e-19
0xC89B,-9.2109375,0x8000,-0.0,0xA030,-1.4907779871675686e-19,-0.0,-1.4888966998728194e-19
0xC89C,-9.21875,0x8000,-0.0,0xA024,-1.3891340334970526e-19,-0.0,-1.3855030607639226e-19
0xC89D,-9.2265625,0x8000,-0.0,0xA018,-1.2874900798265365e-19,-0.0,-1.2892106498014093e-19
0xC89E,-9.234375,0x8000,-0.0,0xA00E,-1.2027867851011065e-19,-0.0,-1.1995372863052473e-19
0xC89F,-9.2421875,0x8000,-0.0,0xA004,-1.1180834903756764e-19,-0.0,-1.11603314411584e-19
0xC8A0,-9.25,0x8000,-0.0,0x9FF5,-1.0376153603865179e-19,-0.0,-1.0382786071978384e-19
0xC8A1,-9.2578125,0x8000,-0.0,0x9FE4,-9.656175598699024e-20,-0.0,-9.658822655569103e-20
0xC8A2,-9.265625,0x8000,-0.0,0x9FD4,-8.978549240895584e-20,-0.0,-8.984790424106794e-20
0xC8A3,-9.2734375,0x8000,-0.0,0x9FC5,-8.343274530454858e-20,-0.0,-8.357284441317528e-20
0xC8A4,-9.28125,0x8000,-0.0,0x9FB8,-7.792703114739563e-20,-0.0,-7.773129250212835e-20
0xC8A5,-9.2890625,0x8000,-0.0,0x9FAB,-7.242131699024268e-20,-0.0,-7.229363594780966e-20
0xC8A6,-9.296875,0x8000,-0.0,0x9F9F,-6.733911930671688e-20,-0.0,-6.723226146031452e-20
0xC8A7,-9.3046875,0x8000,-0.0,0x9F94,-6.268043809681823e-20,-0.0,-6.252142167239292e-20
0xC8A8,-9.3125,0x8000,-0.0,0x9F89,-5.802175688691957e-20,-0.0,-5.813711057403475e-20
0xC8A9,-9.3203125,0x8000,-0.0,0x9F7F,-5.3998350387461647e-20,-0.0,-5.4056947158401674e-20
0xC8AA,-9.328125,0x8000,-0.0,0x9F6D,-5.0186702124817295e-20,-0.0,-5.026006674489896e-20
0xC8AB,-9.3359375,0x8000,-0.0,0x9F5D,-4.6798570335800094e-20,-0.0,-4.6727019479459805e-20
0xC8AC,-9.34375,0x8000,-0.0,0x9F4D,-4.341043854678289e-20,-0.0,-4.3439675544224677e-20
0xC8AD,-9.3515625,0x8000,-0.0,0x9F3F,-4.044582323139284e-20,-0.0,-4.038113663887616e-20
0xC8AE,-9.359375,0x8000,-0.0,0x9F31,-3.748120791600279e-20,-0.0,-3.753565332406096e-20
0xC8AF,-9.3671875,0x8000,-0.0,0x9F25,-3.494010907423989e-20,-0.0,-3.4888547843714833e-20
0xC8B0,-9.375,0x8000,-0.0,0x9F19,-3.239901023247699e-20,-0.0,-3.2426142067814813e-20
0xC8B1,-9.3828125,0x8000,-0.0,0x9F0E,-3.006966962752766e-20,-0.0,-3.013569022022115e-20
0xC8B2,-9.390625,0x8000,-0.0,0x9F04,-2.795208725939191e-20,-0.0,-2.800531607793659e-20
0xC8B3,-9.3984375,0x8000,-0.0,0x9EF6,-2.6046263128069735e-20,-0.0,-2.6023954348396562e-20
0xC8B4,-9.40625,0x8000,-0.0,0x9EE4,-2.414043899674756e-20,-0.0,-2.4181295950395418e-20
0xC8B5,-9.4140625,0x8000,-0.0,0x9ED4,-2.244637310223896e-20,-0.0,-2.2467736942034304e-20
0xC8B6,-9.421875,0x8000,-0.0,0x9EC5,-2.0858186326137146e-20,-0.0,-2.0874330855719675e-20
0xC8B7,-9.4296875,0x8000,-0.0,0x9EB7,-1.937587866844212e-20,-0.0,-1.9392744215821292e-20
0xC8B8,-9.4375,0x8000,-0.0,0x9EAA,-1.7999450129153882e-20,-0.0,-1.801521502918056e-20
0xC8B9,-9.4453125,0x8000,-0.0,0x9E9E,-1.6728900708272432e-20,-0.0,-1.6734514052307722e-20
0xC8BA,-9.453125,0x8000,-0.0,0x9E93,-1.556423040579777e-20,-0.0,-1.5543908651878732e-20
0xC8BB,-9.4609375,0x8000,-0.0,0x9E88,-1.4399560103323106e-20,-0.0,-1.4437129087094754e-20
0xC8BC,-9.46875,0x8000,-0.0,0x9E7D,-1.3393708478458624e-20,-0.0,-1.3408337053651123e-20
0xC8BD,-9.4765625,0x8000,-0.0,0x9E6B,-1.2440796412797536e-20,-0.0,-1.2452096339527085e-20
0xC8BE,-9.484375,0x8000,-0.0,0x9E5A,-1.1540823906339842e-20,-0.0,-1.156334545259801e-20
0xC8BF,-9.4921875,0x8000,-0.0,0x9E4B,-1.0746730518288936e-20,-0.0,-1.0737372089231183e-20
0xC8C0,-9.5,0x8000,-0.0,0x9E3C,-9.952637130238029e-21,-0.0,-9.969789321594476e-21
0xC8C1,-9.5078125,0x8000,-0.0,0x9E2F,-9.26442286059391e-21,-0.0,-9.25651338942212e-21
0xC8C2,-9.515625,0x8000,-0.0,0x9E22,-8.576208590949791e-21,-0.0,-8.593742989478335e-21
0xC8C3,-9.5234375,0x8000,-0.0,0x9E17,-7.99387343971246e-21,-0.0,-7.977939962971077e-21
0xC8C4,-9.53125,0x8000,-0.0,0x9E0C,-7.411538288475128e-21,-0.0,-7.40581128772533e-21
0xC8C5,-9.5390625,0x8000,-0.0,0x9E02,-6.88214269644119e-21,-0.0,-6.874292288057361e-21
0xC8C6,-9.546875,0x8000,-0.0,0x9DF1,-6.3792168840089494e-21,-0.0,-6.3805309810252695e-21
0xC8C7,-9.5546875,0x8000,-0.0,0x9DE0,-5.929230630780102e-21,-0.0,-5.921873483092617e-21
0xC8C8,-9.5625,0x8000,-0.0,0x9DD0,-5.505714157152952e-21,-0.0,-5.495850406254516e-21
0xC8C9,-9.5703125,0x8000,-0.0,0x9DC1,-5.108667463127499e-21,-0.0,-5.100164177361943e-21
0xC8CA,-9.578125,0x8000,-0.0,0x9DB3,-4.7380905487037425e-21,-0.0,-4.732677218760969e-21
0xC8CB,-9.5859375,0x8000,-0.0,0x9DA6,-4.393983413881683e-21,-0.0,-4.391400932458788e-21
0xC8CC,-9.59375,0x8000,-0.0,0x9D9A,-4.0763460586613204e-21,-0.0,-4.0744854338561916e-21
0xC8CD,-9.6015625,0x8000,-0.0,0x9D8F,-3.785178483042655e-21,-0.0,-3.780209984663778e-21
0xC8CE,-9.609375,0x8000,-0.0,0x9D84,-3.494010907423989e-21,-0.0,-3.5069740779627015e-21
0xC8CF,-9.6171875,0x8000,-0.0,0x9D76,-3.255782891008717e-21,-0.0,-3.253289131495425e-21
0xC8D0,-9.625,0x8000,-0.0,0x9D64,-3.017554874593445e-21,-0.0,-3.017770748191696e-21
0xC8D1,-9.6328125,0x8000,-0.0,0x9D53,-2.7925617479790214e-21,-0.0,-2.799131505663211e-21
0xC8D2,-9.640625,0x8000,-0.0,0x9D44,-2.5940384009662948e-21,-0.0,-2.5961742389494743e-21
0xC8D3,-9.6484375,0x8000,-0.0,0x9D36,-2.4087499437544166e-21,-0.0,-2.4077857831788287e-21
0xC8D4,-9.65625,0x8000,-0.0,0x9D29,-2.236696376343387e-21,-0.0,-2.2329311450334157e-21
0xC8D5,-9.6640625,0x8000,-0.0,0x9D1C,-2.064642808932357e-21,-0.0,-2.0706480739850393e-21
0xC8D6,-9.671875,0x8000,-0.0,0x9D11,-1.9190590211230242e-21,-0.0,-1.920042006210147e-21
0xC8D7,-9.6796875,0x8000,-0.0,0x9D07,-1.7867101231145398e-21,-0.0,-1.7802813559052335e-21
0xC8D8,-9.6875,0x8000,-0.0,0x9CF9,-1.6477437802056311e-21,-0.0,-1.6505931304173254e-21
0xC8D9,-9.6953125,0x8000,-0.0,0x9CE7,-1.5286297719979951e-21,-0.0,-1.5302588471855933e-21
0xC8DA,-9.703125,0x8000,-0.0,0x9CD6,-1.4161332086907834e-21,-0.0,-1.4186107319668455e-21
0xC8DB,-9.7109375,0x8000,-0.0,0x9CC7,-1.31687153518442e-21,-0.0,-1.3150281791965655e-21
0xC8DC,-9.71875,0x8000,-0.0,0x9CB8,-1.2176098616780567e-21,-0.0,-1.2189344566246113e-21
0xC8DD,-9.7265625,0x8000,-0.0,0x9CAB,-1.1315830779725419e-21,-0.0,-1.1297936375666987e-21
0xC8DE,-9.734375,0x8000,-0.0,0x9C9E,-1.045556294267027e-21,-0.0,-1.047107745234955e-21
0xC8DF,-9.7421875,0x8000,-0.0,0x9C93,-9.727644003623605e-22,-0.0,-9.704140946583463e-22
0xC8E0,-9.75,0x8000,-0.0,0x9C88,-8.999725064576941e-22,-0.0,-8.992828186815932e-22
0xC8E1,-9.7578125,0x8000,-0.0,0x9C7C,-8.337980574534519e-22,-0.0,-8.33314565443847e-22
0xC8E2,-9.765625,0x8000,-0.0,0x9C69,-7.709323308994218e-22,-0.0,-7.721383555901821e-22
0xC8E3,-9.7734375,0x8000,-0.0,0x9C58,-7.146840492458159e-22,-0.0,-7.154095882639064e-22
0xC8E4,-9.78125,0x8000,-0.0,0x9C48,-6.617444900424221e-22,-0.0,-6.628081856694996e-22
0xC8E5,-9.7890625,0x8000,-0.0,0x9C3A,-6.154223757394526e-22,-0.0,-6.140368666882049e-22
0xC8E6,-9.796875,0x8000,-0.0,0x9C2C,-5.69100261436483e-22,-0.0,-5.688195406741635e-22
0xC8E7,-9.8046875,0x8000,-0.0,0x9C1F,-5.260868695837256e-22,-0.0,-5.26899813161581e-22
0xC8E8,-9.8125,0x8000,-0.0,0x9C14,-4.896909226313924e-22,-0.0,-4.880395957755884e-22
0xC8E9,-9.8203125,0x8000,-0.0,0x9C09,-4.532949756790592e-22,-0.0,-4.520178131639009e-22
0xC8EA,-9.828125,0x8000,-0.0,0x9BFD,-4.18553389951832e-22,-0.0,-4.186292002555795e-22
0xC8EB,-9.8359375,0x8000,-0.0,0x9BEA,-3.8712052667481695e-22,-0.0,-3.8768318360949573e-22
0xC8EC,-9.84375,0x8000,-0.0,0x9BD9,-3.58996385848014e-22,-0.0,-3.590028410406782e-22
0xC8ED,-9.8515625,0x8000,-0.0,0x9BC9,-3.3252660624631713e-22,-0.0,-3.3242393410962494e-22
0xC8EE,-9.859375,0x8000,-0.0,0x9BBA,-3.077111878697263e-22,-0.0,-3.077940084297961e-22
0xC8EF,-9.8671875,0x8000,-0.0,0x9BAC,-2.845501307182415e-22,-0.0,-2.8497155709364634e-22
0xC8F0,-9.875,0x8000,-0.0,0x9B9F,-2.630434347918628e-22,-0.0,-2.6382524283938095e-22
0xC8F1,-9.8828125,0x8000,-0.0,0x9B94,-2.448454613156962e-22,-0.0,-2.44233174880674e-22
0xC8F2,-9.890625,0x8000,-0.0,0x9B89,-2.266474878395296e-22,-0.0,-2.260822366013308e-22
0xC8F3,-9.8984375,0x8000,-0.0,0x9B7D,-2.09276694975916e-22,-0.0,-2.0926746057766358e-22
0xC8F4,-9.90625,0x8000,-0.0,0x9B6A,-1.9356026333740848e-22,-0.0,-1.936914476344492e-22
0xC8F5,-9.9140625,0x8000,-0.0,0x9B59,-1.79498192924007e-22,-0.0,-1.7926382686693295e-22
0xC8F6,-9.921875,0x8000,-0.0,0x9B49,-1.6626330312315856e-22,-0.0,-1.6590075377254176e-22
0xC8F7,-9.9296875,0x8000,-0.0,0x9B3A,-1.5385559393486315e-22,-0.0,-1.5352444383280517e-22
0xC8F8,-9.9375,0x8000,-0.0,0x9B2C,-1.4227506535912076e-22,-0.0,-1.420627390694163e-22
0xC8F9,-9.9453125,0x8000,-0.0,0x9B1F,-1.315217173959314e-22,-0.0,-1.3144870526930155e-22
0xC8FA,-9.953125,0x8000,-0.0,0x9B13,-1.2159555004529507e-22,-0.0,-1.2162025773284582e-22
0xC8FB,-9.9609375,0x8000,-0.0,0x9B08,-1.1249656330721176e-22,-0.0,-1.1251981354782375e-22
0xC8FC,-9.96875,0x8000,-0.0,0x9AFC,-1.0422475718168149e-22,-0.0,-1.0409396852985369e-22
0xC8FD,-9.9765625,0x8000,-0.0,0x9AE9,-9.636654136242772e-23,-0.0,-9.629319709899848e-23
0xC8FE,-9.984375,0x8000,-0.0,0x9AD7,-8.892191584945048e-23,-0.0,-8.90715734821296e-23
0xC8FF,-9.9921875,0x8000,-0.0,0x9AC7,-8.230447094902625e-23,-0.0,-8.238651274244115e-23
0xC900,-10.0,0x8000,-0.0,0x9AB8,-7.610061635487855e-23,-0.0,-7.619853024160526e-23
0xC901,-10.0078125,0x8000,-0.0,0x9AAA,-7.031035206700735e-23,-0.0,-7.047101823702009e-23
0xC902,-10.015625,0x8000,-0.0,0x9A9E,-6.534726839168919e-23,-0.0,-6.517003840689936e-23
0xC903,-10.0234375,0x8000,-0.0,0x9A92,-6.038418471637102e-23,-0.0,-6.026412918004091e-23
0xC904,-10.03125,0x8000,-0.0,0x9A87,-5.583469134732937e-23,-0.0,-5.572412682541255e-23
0xC905,-10.0390625,0x8000,-0.0,0x9A79,-5.149199313142597e-23,-0.0,-5.1522999329599754e-23
0xC906,-10.046875,0x8000,-0.0,0x9A66,-4.756288522179909e-23,-0.0,-4.7635692158039294e-23
0xC907,-10.0546875,0x8000,-0.0,0x9A55,-4.4047367618448724e-23,-0.0,-4.40389850591573e-23
0xC908,-10.0625,0x8000,-0.0,0x9A45,-4.0738645168236613e-23,-0.0,-4.071135912935913e-23
0xC909,-10.0703125,0x8000,-0.0,0x9A36,-3.763671787116276e-23,-0.0,-3.7632873411580045e-23
0xC90A,-10.078125,0x8000,-0.0,0x9A28,-3.474158572722716e-23,-0.0,-3.478505035107741e-23
0xC90B,-10.0859375,0x8000,-0.0,0x9A1B,-3.205324873642982e-23,-0.0,-3.215076947958622e-23
0xC90C,-10.09375,0x8000,-0.0,0x9A10,-2.9778502051908996e-23,-0.0,-2.9714168743111575e-23
0xC90D,-10.1015625,0x8000,-0.0,0x9A05,-2.750375536738817e-23,-0.0,-2.746055292972019e-23
0xC90E,-10.109375,0x8000,-0.0,0x99F5,-2.5332406259436473e-23,-0.0,-2.5376308691927205e-23
0xC90F,-10.1171875,0x8000,-0.0,0x99E3,-2.347124988119216e-23,-0.0,-2.3448825693851193e-23
0xC910,-10.125,0x8000,-0.0,0x99D2,-2.1713491079516976e-23,-0.0,-2.1666423446411244e-23
0xC911,-10.1328125,0x8000,-0.0,0x99C2,-2.005912985441092e-23,-0.0,-2.0018283424635888e-23
0xC912,-10.140625,0x8000,-0.0,0x99B3,-1.8508166205873994e-23,-0.0,-1.8494386089802827e-23
0xC913,-10.1484375,0x8000,-0.0,0x99A5,-1.7060600133906196e-23,-0.0,-1.708545246577895e-23
0xC914,-10.15625,0x8000,-0.0,0x9999,-1.5819829215076654e-23,-0.0,-1.5782889943719486e-23
0xC915,-10.1640625,0x8000,-0.0,0x998D,-1.4579058296247113e-23,-0.0,-1.457874201234219e-23
0xC916,-10.171875,0x8000,-0.0,0x9982,-1.34416849539867e-23,-0.0,-1.346564163243625e-23
0xC917,-10.1796875,0x8000,-0.0,0x9971,-1.245940797657998e-23,-0.0,-1.2436767994208264e-23
0xC918,-10.1875,0x8000,-0.0,0x995E,-1.1477130999173259e-23,-0.0,-1.1485806414612571e-23
0xC919,-10.1953125,0x8000,-0.0,0x994D,-1.0598251598335667e-23,-0.0,-1.0606911149057389e-23
0xC91A,-10.203125,0x8000,-0.0,0x993D,-9.77107098578264e-24,-0.0,-9.794670907911916e-24
0xC91B,-10.2109375,0x8000,-0.0,0x992F,-9.04728794979874e-24,-0.0,-9.044076883146429e-24
0xC91C,-10.21875,0x8000,-0.0,0x9922,-8.375203702099405e-24,-0.0,-8.350493104296094e-24
0xC91D,-10.2265625,0x8000,-0.0,0x9915,-7.70311945440007e-24,-0.0,-7.709628955822291e-24
0xC91E,-10.234375,0x8000,-0.0,0x990A,-7.134432783269864e-24,-0.0,-7.11751369992063e-24
0xC91F,-10.2421875,0x8000,-0.0,0x98FE,-6.565746112139657e-24,-0.0,-6.5704728599559294e-24
0xC920,-10.25,0x8000,-0.0,0x98EB,-6.074607623436297e-24,-0.0,-6.065106330049758e-24
0xC921,-10.2578125,0x8000,-0.0,0x98D9,-5.609318528875219e-24,-0.0,-5.598268085960752e-24
0xC922,-10.265625,0x8000,-0.0,0x98C8,-5.169878828456423e-24,-0.0,-5.167047381332786e-24
0xC923,-10.2734375,0x8000,-0.0,0x98B8,-4.756288522179909e-24,-0.0,-4.768751321688626e-24
0xC924,-10.28125,0x8000,-0.0,0x98AA,-4.3943970041879595e-24,-0.0,-4.4008887162612345e-24
0xC925,-10.2890625,0x8000,-0.0,0x989D,-4.058354880338292e-24,-0.0,-4.061155114922557e-24
0xC926,-10.296875,0x8000,-0.0,0x9891,-3.748162150630907e-24,-0.0,-3.7474189441287335e-24
0xC927,-10.3046875,0x8000,-0.0,0x9886,-3.4638188150658034e-24,-0.0,-3.457708661986942e-24
0xC928,-10.3125,0x8000,-0.0,0x9877,-3.192400176571841e-24,-0.0,-3.1902008582955775e-24
0xC929,-10.3203125,0x8000,-0.0,0x9864,-2.946830932220161e-24,-0.0,-2.943209230747294e-24
0xC92A,-10.328125,0x8000,-0.0,0x9852,-2.714186384939622e-24,-0.0,-2.7151743734421004e-24
0xC92B,-10.3359375,0x8000,-0.0,0x9842,-2.507391231801365e-24,-0.0,-2.5046543184621687e-24
0xC92C,-10.34375,0x8000,-0.0,0x9833,-2.3135207757342493e-24,-0.0,-2.3103157755360102e-24
0xC92D,-10.3515625,0x8000,-0.0,0x9825,-2.1325750167382745e-24,-0.0,-2.1309260187904775e-24
0xC92E,-10.359375,0x8000,-0.0,0x9818,-1.9645539548134407e-24,-0.0,-1.9653453732761132e-24
0xC92F,-10.3671875,0x8000,-0.0,0x980C,-1.809457589959748e-24,-0.0,-1.8125202573748055e-24
0xC930,-10.375,0x8000,-0.0,0x9801,-1.6672859221771964e-24,-0.0,-1.6714767403770973e-24
0xC931,-10.3828125,0x8000,-0.0,0x97EF,-1.5445013000013564e-24,-0.0,-1.5413145774672342e-24
0xC932,-10.390625,0x8000,-0.0,0x97DC,-1.4217166778255163e-24,-0.0,-1.4212016870931997e-24
0xC933,-10.3984375,0x8000,-0.0,0x97CB,-1.3118567527208173e-24,-0.0,-1.3103690382416077e-24
0xC934,-10.40625,0x8000,-0.0,0x97BB,-1.2084591761516889e-24,-0.0,-1.2081059174973343e-24
0xC935,-10.4140625,0x8000,-0.0,0x97AC,-1.111523948118131e-24,-0.0,-1.113755547958137e-24
0xC936,-10.421875,0x8000,-0.0,0x979F,-1.027513417155714e-24,-0.0,-1.026711034107298e-24
0xC937,-10.4296875,0x8000,-0.0,0x9792,-9.435028861932972e-25,-0.0,-9.464116086337542e-25
0xC938,-10.4375,0x8000,-0.0,0x9787,-8.724170523020214e-25,-0.0,-8.723391589396367e-25
0xC939,-10.4453125,0x8000,-0.0,0x9779,-8.045623926785308e-25,-0.0,-8.040150126993648e-25
0xC93A,-10.453125,0x8000,-0.0,0x9765,-7.399389073228255e-25,-0.0,-7.409969633413922e-25
0xC93B,-10.4609375,0x8000,-0.0,0x9753,-6.817777705026908e-25,-0.0,-6.828765177217855e-25
0xC93C,-10.46875,0x8000,-0.0,0x9743,-6.3007898221812655e-25,-0.0,-6.292763495557926e-25
0xC93D,-10.4765625,0x8000,-0.0,0x9733,-5.783801939335623e-25,-0.0,-5.7984794337666685e-25
0xC93E,-10.484375,0x8000,-0.0,0x9725,-5.331437541845686e-25,-0.0,-5.3426941490696985e-25
0xC93F,-10.4921875,0x8000,-0.0,0x9718,-4.911384887033602e-25,-0.0,-4.922434947626284e-25
0xC940,-10.5,0x8000,-0.0,0x970C,-4.52364397489937e-25,-0.0,-4.534956633699692e-25
0xC941,-10.5078125,0x8000,-0.0,0x9701,-4.168214805442991e-25,-0.0,-4.177724258661851e-25
0xC942,-10.515625,0x8000,-0.0,0x96EE,-3.8450973786644646e-25,-0.0,-3.84839716579217e-25
0xC943,-10.5234375,0x8000,-0.0,0x96DB,-3.5381358232248645e-25,-0.0,-3.5448142344850407e-25
0xC944,-10.53125,0x8000,-0.0,0x96CA,-3.263486010463117e-25,-0.0,-3.2649802345779906e-25
0xC945,-10.5390625,0x8000,-0.0,0x96BA,-3.004992069040296e-25,-0.0,-3.0070532080926235e-25
0xC946,-10.546875,0x8000,-0.0,0x96AB,-2.762653998956401e-25,-0.0,-2.7693328017808293e-25
0xC947,-10.5546875,0x8000,-0.0,0x969E,-2.552627671550359e-25,-0.0,-2.5502494795237516e-25
0xC948,-10.5625,0x8000,-0.0,0x9691,-2.3426013441443167e-25,-0.0,-2.3483545488728946e-25
0xC949,-10.5703125,0x8000,-0.0,0x9686,-2.164886759416127e-25,-0.0,-2.162310940881402e-25
0xC94A,-10.578125,0x8000,-0.0,0x9676,-1.9871721746879376e-25,-0.0,-1.9908846868765979e-25
0xC94B,-10.5859375,0x8000,-0.0,0x9663,-1.8336913969681375e-25,-0.0,-1.8329370399981827e-25
0xC94C,-10.59375,0x8000,-0.0,0x9651,-1.6882885549178006e-25,-0.0,-1.6874171931938224e-25
0xC94D,-10.6015625,0x8000,-0.0,0x9640,-1.550963648536927e-25,-0.0,-1.5533555489475432e-25
0xC94E,-10.609375,0x8000,-0.0,0x9631,-1.4297946134949795e-25,-0.0,-1.4298574993368428e-25
0xC94F,-10.6171875,0x8000,-0.0,0x9623,-1.3167035141224952e-25,-0.0,-1.3160976780909529e-25
0xC950,-10.625,0x8000,-0.0,0x9616,-1.2116903504194741e-25,-0.0,-1.2113146491729157e-25
0xC951,-10.6328125,0x8000,-0.0,0x960A,-1.1147551223859162e-25,-0.0,-1.1148059990485747e-25
0xC952,-10.640625,0x8000,-0.0,0x95FE,-1.0258978300218214e-25,-0.0,-1.0259238022514904e-25
0xC953,-10.6484375,0x8000,-0.0,0x95EA,-9.451184733271898e-26,-0.0,-9.440704321183583e-26
0xC954,-10.65625,0x8000,-0.0,0x95D7,-8.683780844672898e-26,-0.0,-8.686946906678892e-26
0xC955,-10.6640625,0x8000,-0.0,0x95C6,-7.997156312768529e-26,-0.0,-7.992882335395181e-26
0xC956,-10.671875,0x8000,-0.0,0x95B6,-7.350921459211476e-26,-0.0,-7.353822677080639e-26
0xC957,-10.6796875,0x8000,-0.0,0x95A8,-6.785465962349055e-26,-0.0,-6.765445013570723e-26
0xC958,-10.6875,0x8000,-0.0,0x959A,-6.220010465486634e-26,-0.0,-6.223763268367921e-26
0xC959,-10.6953125,0x8000,-0.0,0x958E,-5.735334325318844e-26,-0.0,-5.725102190615991e-26
0xC95A,-10.703125,0x8000,-0.0,0x9582,-5.250658185151055e-26,-0.0,-5.266073330245734e-26
0xC95B,-10.7109375,0x8000,-0.0,0x9570,-4.8467614016778965e-26,-0.0,-4.8435528533163985e-26
0xC95C,-10.71875,0x8000,-0.0,0x955D,-4.4630594573783964e-26,-0.0,-4.454661057914095e-26
0xC95D,-10.7265625,0x8000,-0.0,0x954B,-4.099552352252554e-26,-0.0,-4.096743461462938e-26
0xC95E,-10.734375,0x8000,-0.0,0x953B,-3.776434925474028e-26,-0.0,-3.767353340018144e-26
0xC95F,-10.7421875,0x8000,-0.0,0x952C,-3.473512337869159e-26,-0.0,-3.4642356091004693e-26
0xC960,-10.75,0x8000,-0.0,0x951E,-3.1907845894379486e-26,-0.0,-3.1853119439514353e-26
0xC961,-10.7578125,0x8000,-0.0,0x9511,-2.928251680180396e-26,-0.0,-2.9286670447883e-26
0xC962,-10.765625,0x8000,-0.0,0x9505,-2.685913610096501e-26,-0.0,-2.6925359597624e-26
0xC963,-10.7734375,0x8000,-0.0,0x94F5,-2.473867798773093e-26,-0.0,-2.4752923849168666e-26
0xC964,-10.78125,0x8000,-0.0,0x94E1,-2.271919407036514e-26,-0.0,-2.2754378665391133e-26
0xC965,-10.7890625,0x8000,-0.0,0x94CF,-2.090165854473593e-26,-0.0,-2.091591836946469e-26
0xC966,-10.796875,0x8000,-0.0,0x94BE,-1.9185097214975007e-26,-0.0,-1.9224824199635965e-26
0xC967,-10.8046875,0x8000,-0.0,0x94AF,-1.7670484276950664e-26,-0.0,-1.7669379471793394e-26
0xC968,-10.8125,0x8000,-0.0,0x94A1,-1.625684553479461e-26,-0.0,-1.6238791305373456e-26
0xC969,-10.8203125,0x8000,-0.0,0x9494,-1.4944180988506848e-26,-0.0,-1.49231184094614e-26
0xC96A,-10.828125,0x8000,-0.0,0x9488,-1.3732490638087374e-26,-0.0,-1.3713204464152203e-26
0xC96B,-10.8359375,0x8000,-0.0,0x947A,-1.2621774483536189e-26,-0.0,-1.2600616667572819e-26
0xC96C,-10.84375,0x8000,-0.0,0x9465,-1.1561545426919149e-26,-0.0,-1.15775890516427e-26
0xC96D,-10.8515625,0x8000,-0.0,0x9453,-1.0652777664104543e-26,-0.0,-1.0636970199863932e-26
0xC96E,-10.859375,0x8000,-0.0,0x9442,-9.794496999224083e-27,-0.0,-9.772175028369014e-27
0xC96F,-10.8671875,0x8000,-0.0,0x9432,-8.986703432277766e-27,-0.0,-8.977140317283151e-27
0xC970,-10.875,0x8000,-0.0,0x9423,-8.229396963265595e-27,-0.0,-8.246283703336286e-27
0xC971,-10.8828125,0x8000,-0.0,0x9416,-7.573064690121713e-27,-0.0,-7.574465866734142e-27
